Route_ID	Route_Comb	Dup_Bw_Titles	Dup_Bw_Authors	Source_ID	Target_ID_All	Target_ID_0	Edition_ID	Matched_Entries	Last_Date	First_Date	Duration	Source_ID	Source_Location_Name_Standardized	Target_ID	Target_Location_Name_Standardized	interregional	international
2884	1181;798;887	FALSE	FALSE	1181	798;887	798	OC1623	7560	1623	1623	0	1181	Rome	798	London	TRUE	TRUE
1838	833;798	FALSE	FALSE	833	798	798	OC1623	7786	1623	1623	0	833	Madrid	798	London	TRUE	TRUE
619	240;798	TRUE	TRUE	240	798	798	TT1604;TT1605;TT1615;OC1616;TT1618;OC1623;OC1623;TT1629;GS1655;GS1662B;GS1663;OC1666;GS1673;OC1676	5060;5306;6431;6863;6980;7667;7674;8172;9057;9407;9653;9877;10289;10763	1676	1604	72	240	Calais	798	London	TRUE	TRUE
95	55;798	TRUE	TRUE	55	798	798	JG1563;RV1576;GMA1612;OC1616;OC1623;GMA1625;OC1666;OC1676	1293;2398;6257;6798;7664;7989;9812;10692	1676	1563	113	55	Antwerp	798	London	TRUE	TRUE
564	222;798	TRUE	FALSE	222	798	798	OC1608;OC1611;OC1616;OC1620;OC1623;OC1666;OC1676	5600;5911;6588;7138;7679;9907;10480	1676	1608	68	222	Brussels	798	London	TRUE	TRUE
937	399;798;323;222;519	TRUE	FALSE	399	798;323;222;519	798	DW1578;DW1598	2486;4353	1598	1578	20	399	Dresden	798	London	TRUE	TRUE
2043	887;798	FALSE	FALSE	887	798	798	OC1623;OC1623	7523;7527	1623	1623	0	887	Milan	798	London	TRUE	TRUE
1587	755;798;55;968	FALSE	FALSE	755	798;55;968	798	DW1595	2840	1595	1595	0	755	Leipzig	798	London	TRUE	TRUE
2559	1058;798	TRUE	TRUE	1058	798	798	OC1616;OC1623;OC1666;OC1676;GM1684;GM1685;GM1687	6799;7724;9813;10693;11634;11740;11838	1687	1616	71	1058	Paris	798	London	TRUE	TRUE
2560	1058;798;1203	FALSE	FALSE	1058	798;1203	798	JW1641	8318	1641	1641	0	1058	Paris	798	London	TRUE	TRUE
2561	1058;798;313;44;984;192;240	FALSE	FALSE	1058	798;313;44;984;192;240	798	GV1720	12233	1720	1720	0	1058	Paris	798	London	TRUE	TRUE
2562	1058;798;398	FALSE	FALSE	1058	798;398	798	JW1641	8317	1641	1641	0	1058	Paris	798	London	TRUE	TRUE
3406	1472;798	TRUE	FALSE	1472	798	798	OC1608;OC1611;OC1616;OC1620;OC1623;OC1666;OC1676	5664;5976;6653;7203;7591;9972;10545	1676	1608	68	1472	Venice	798	London	TRUE	TRUE
