Edition_ID	Edition_Title	Edition_Author	Edition_Location	Language	Edition_Publisher	Edition_Date	Author_VIAF	Author_WikiData_AF	Title_USTC	Title_OCLC	Entered
TT1596B	Sommaire de la description de la France, avec la guide des chemins pour aller par les provinces et aux villes plus renommées	Théodore Turquet de Mayerne	Lyon	French		1596	95152542	Q19032157	USTC 51756		FALSE
CE1596	La guide des chemins France	Charles Estienne	Lyon	French	Benoît Rigaud	1596	VIAF116409342	Q538586			FALSE
GMA1596	Wegbüchlin der fürnemesten Wege und Gebreüchlichesten strasssen	Georg Mayr	Augsburg	German	Michael Manger	1596	32051795			882063697	FALSE
AP1596A	Le cose meravigliose dell'alma città di Romacon le poste d'Italia	Andrea Palladio	Rome	Italian	Camillo Franceschini	1596	VIAF17227673	Q177692	USTC 807082		FALSE
AP1596B	Le cose meravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Guglielmo Facciotti	1596	VIAF17227673	Q177692	USTC 807083		FALSE
LA1597	Krone und Außbundt aller Wegweiser	Lambertum Andree	Cologne	German		1597				258103334	TRUE
GH1597A	Poste per diverse parti del mondo	Giovanni da l'Herba	Venice	Italian	Domenico Imberti	1597	VIAF47104053		USTC 838116		FALSE
GH1597B	Poste per diverse parti del mondo	Giovanni da l'Herba	Rome	Italian	[Guglielmo] Facciotti	1597	VIAF47104053				FALSE
DW1597	Wegweiser oder reyse buechlein von der stad Dreszden aus der fuernemsten wege und strassen durch gantz Deudschland in viel andere staedte	Daniel Wintzenberger	Dresden	German	Gimel Bergen	1597	67285828		USTC 706270		FALSE
SAC1598	Poste d'Italia, Franza, Spagna, et Lemagna Et tutte le più notabili Fiere del Mondo	Anonymous C		Italian		1598					TRUE
GH1598A	Poste per diverse parti del mondo	Giovanni da l'Herba	Venice	Italian	Daniele Zanetti	1598	VIAF47104053				TRUE
GH1598B	Poste per diverse parti del mondo	Giovanni da l'Herba	Venice	Italian	Domenico Imberti	1598	VIAF47104053				FALSE
GH1598C	Viaggio da Venetia al Santo Sepolcro, et al monte Sinai Gionta dell Poste di diverse parti del mondo	Giovanni da l'Herba	Venice	Italian	Daniele Zanetti	1598	VIAF47104053			833879671	FALSE
DW1598	Der kramer und kauffleute reysebuechlein, von der Stadt Dreszden aus die fuernembsten wege und strassen durch das Deutschland, in viel andere staedte und anstossende Koenigreiche	Daniel Wintzenberger	Dresden	German	Gimel Bergen	1598	67285828		USTC 633856		TRUE
CE1599	Nouvelle guide des chemins pour aller et venir par tous les pays et contrees du royaume de France	Charles Estienne	Paris	French	Nicolas Bonfons	1599	VIAF116409342	Q538586			FALSE
GK1599A	Delitiae Italiae, Das ist: Eigentliche Beschreibung, was durch gantz Welschland in einer jeden Statt und Ort	Georg Kranitz	Leipzig	German		1599	47823349			603832182	TRUE
GK1599B	Delitiae Italiae, Das ist: Eigentliche Beschreibung, was durch gantz Welschland in einer jeden Statt und Ort	Georg Kranitz	Frankfurt	German		1599	47823349			163227455	FALSE
GK1599C	Eigentliche beschreibung, was durch gantz Welschland in einer jeden statt unnd ort	Georg Kranitz	Frankfurt	German		1599	47823349		USTC 632240		FALSE
GK1599D	Eigentliche beschreibung, was durch gantz Welschland in einer jeden statt unnd ort	Georg Kranitz	Leipzig	German		1599	47823349		USTC 632242		FALSE
AP1599	Le cose meravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Guglielmo Facciotti	1599	VIAF17227673	Q177692	USTC 807340		FALSE
