Location_ID	Location_Name_Standardized	Location_Name	Geoname_ID	adminName1	Location_Lat	Location_Lng	Location_Latlng	country_code	country_name
142	Beelitz	beelitz;beliz	2951595	Brandenburg	52.23812	12.9714	52.23812,12.9714	DE	Germany
143	Beeskow	beseckou;beeskow	2951528	Brandenburg	52.17291	14.24597	52.17291,14.24597	DE	Germany
144	Beinheim	beiheim;beinheim	3033846	Grand Est	48.86255	8.08478	48.86255,8.08478	FR	France
145	Belentsi	belletri;belentsi	733353	Lovech	43.11667	24.06667	43.11667,24.06667	BG	Bulgaria
146	Belgrade	belgrad;belgrade;weisenburgt;belgrado	792680	Central Serbia	44.80401	20.46513	44.80401,20.46513	RS	Serbia
147	Belitsk	belitsk;bellick	630295	Homyel’ Voblasc’	52.9395	30.4122	52.9395,30.4122	BY	Belarus
148	Bellême	belesme;bellême	3033679	Normandy	48.37329	0.57005	48.37329,0.57005	FR	France
149	Bellinzona	belinzona;belizan;bellinzona	2661567	Ticino	46.19278	9.01703	46.19278,9.01703	CH	Switzerland
150	Bellpuig	belpuzi;belpuchi;belpucci;belpuci;bellpuig	3128336	Catalonia	41.62595	1.01144	41.62595,1.01144	ES	Spain
151	Benthen	benthein;benthen	2950956	Mecklenburg-Vorpommern	53.51653	12.00909	53.51653,12.00909	DE	Germany
152	Berck	berck	3033415	Hauts-de-France	50.4	1.6	50.4,1.6	FR	France
153	Bergamo	bergamo;bergomo	3182164	Lombardy	45.69601	9.66721	45.69601,9.66721	IT	Italy
154	Bergeler	bergeler;bergelen	2950646	North Rhine-Westphalia	51.82321	8.16878	51.82321,8.16878	DE	Germany
155	Bergen	bergen in norw;bergen in hennegaw;bergen in nortwegen;bergen	3161732	Hordaland	60.39299	5.32415	60.39299,5.32415	NO	Norway
156	Bergstedt	bergstedt;berga;bercstett;ergstett;bergstet;bergstett	2950265	Hamburg	53.67111	10.12694	53.67111,10.12694	DE	Germany
157	Berlin	berlin;perlin;berling	2950159	Berlin	52.52437	13.41053	52.52437,13.41053	DE	Germany
158	Bern	berne;berna;bern;bern in schweitz;bern in der schwaiz	2661552	Bern	46.94809	7.44744	46.94809,7.44744	CH	Switzerland
159	Berwick-upon-Tweed	berwick;berwicke;berwick-upon-tweed	2655819	England	55.76536	-2.01186	55.76536,-2.01186	GB	United Kingdom
160	Besançon	bezancon;bisanzone;besançon;besancon;besanzon;besanson;bisanz in burgund	3033123	Bourgogne-Franche-Comté	47.24878	6.01815	47.24878,6.01815	FR	France
161	Bésignan	bésignan;besignano	3033118	Auvergne-Rhône-Alpes	44.31963	5.3263	44.31963,5.3263	FR	France
162	Béthune	bethune;béthune;betune;bettunnes	3033002	Hauts-de-France	50.53333	2.63333	50.53333,2.63333	FR	France
163	Béziers	besiers;béziers	3032833	Occitanie	43.34122	3.21402	43.34122,3.21402	FR	France
164	Biarritz	biarritz;cabreton;cabretone	3032797	Nouvelle-Aquitaine	43.48012	-1.55558	43.48012,-1.55558	FR	France
165	Biberach	biberarch;biberach	2949426	Baden-Württemberg	48.61008	8.27704	48.61008,8.27704	DE	Germany
166	Bielefeld	bielefeld;bileuelt;bilevelt	2949186	North Rhine-Westphalia	52.03333	8.53333	52.03333,8.53333	DE	Germany
167	Bilbao	la biscaya;die biscaye;bilbao	3128026	Basque Country	43.26271	-2.92528	43.26271,-2.92528	ES	Spain
168	bing	bing							
169	Biron	biron	3032562	Nouvelle-Aquitaine	44.63052	0.87157	44.63052,0.87157	FR	France
170	Bistriţa	bistriţa;bistritz;bistriz	684657	Bistriţa-Năsăud	47.13316	24.50011	47.13316,24.50011	RO	Romania
171	Bitburg	bihenburg;bitburg	2948184	Rheinland-Pfalz	49.96794	6.52734	49.96794,6.52734	DE	Germany
172	Bitonto	bitonto	3181995	Apulia	41.11006	16.69086	41.11006,16.69086	IT	Italy
173	Blankenburg	blanckenburg;blankenburg	2948071	Saxony-Anhalt	51.79025	10.95509	51.79025,10.95509	DE	Germany
174	blawen	blawen							
175	Blaye	bloya;blaye	2967108	Nouvelle-Aquitaine	45.13333	-0.66667	45.13333,-0.66667	FR	France
176	Bléneau	bléneau;blesneau	3032278	Bourgogne-Franche-Comté	47.7	2.95	47.7,2.95	FR	France
177	Blis-et-Born	blois clery;blis-et-born	3032220	Nouvelle-Aquitaine	45.18133	0.90636	45.18133,0.90636	FR	France
178	Blois	blois;bles;bloys	3032213	Centre-Val de Loire	47.59432	1.32912	47.59432,1.32912	FR	France
179	Böckelheim	boctelheim;böckelheim	11778178	Rheinland-Pfalz	49.80891	7.74425	49.80891,7.74425	DE	Germany
180	Bogense	bogense;bodense	2623857	South Denmark	55.56691	10.08863	55.56691,10.08863	DK	Denmark
181	Bohemia	bohemia;boehmen;boemia;boehem	3077916	Jihočeský	48.97447	14.47434	48.97447,14.47434	CZ	Czechia
182	boladinct	boladinct;bolandinct							
183	Bologna	bolonia;bologna;bollonia;bononia;bononiey	3181928	Emilia-Romagna	44.49381	11.33875	44.49381,11.33875	IT	Italy
184	Bolzano	bolzano;bolzan;bosen;bolzen;bozen;botzen	3181913	Trentino-Alto Adige	46.49067	11.33982	46.49067,11.33982	IT	Italy
185	Boppard	boppard;boppart	2946366	Rheinland-Pfalz	50.23085	7.58992	50.23085,7.58992	DE	Germany
186	Borba	borba	8010500	Évora	38.81412	-7.46721	38.81412,-7.46721	PT	Portugal
187	Bordeaux	bordeaulx;bordeaux;bourdeaux;bordeo;bordeauz	3031582	Nouvelle-Aquitaine	44.84044	-0.5805	44.84044,-0.5805	FR	France
188	Borgloon	borgloon;borchloon	2801467	Flanders	50.80505	5.34366	50.80505,5.34366	BE	Belgium
189	Born	born	2960739	Echternach	49.75928	6.51227	49.75928,6.51227	LU	Luxembourg
190	Bøtta	boetta in der steyrmarcht;bootta in the steirmarckt;boetta	3227846	Rogaland	59.06139	5.60917	59.06139,5.60917	NO	Norway
191	Bouère	bouhero;bouhere;bouère	3031307	Pays de la Loire	47.8628	-0.47681	47.8628,-0.47681	FR	France
192	Boulogne-sur-Mer	boulogne;bologne sur la mer;boulogne-sur-mer;bologne;bouloigne	3031133	Hauts-de-France	50.71667	1.61667	50.71667,1.61667	FR	France
193	Bourbon-l'Archambault	bourbon;bourbon-l'archambault	3031089	Auvergne-Rhône-Alpes	46.58666	3.05876	46.58666,3.05876	FR	France
194	Bourges	borges;bourges;borgos;böurges	3031005	Centre-Val de Loire	47.08333	2.4	47.08333,2.4	FR	France
195	Bourgogne	bourgonge;burgundy;la bourgonge;borgogna;bourgogne	3030967	Bourgogne	47.25	4.16667	47.25,4.16667	FR	France
196	Bourmont	bourmont;bourmount	3030917	Grand Est	48.19334	5.58991	48.19334,5.58991	FR	France
197	Bozzolo	bozzolo	3181633	Lombardy	45.10324	10.47988	45.10324,10.47988	IT	Italy
198	Brandenburg	brandenburg	2945358	Brandenburg	52.41667	12.55	52.41667,12.55	DE	Germany
199	Bratislava	presburg;pressburgt;bratislava;pressburg;preßburg	3060972	Bratislavský	48.14816	17.10674	48.14816,17.10674	SK	Slovakia
200	Braunau am Inn	braun;brannau;braunau am inn	2781520	Upper Austria	48.25628	13.04343	48.25628,13.04343	AT	Austria
201	Braunschweig	brounswick;braunsvvig;brannsvveig;braunschweig;burnum;brounswicke;braunsoveig;braunschwick;braunshweyg;braunsvveig;braunschweygt;brausvveig;braunschweigt;lanzu braunschweig;braunschweyck;brasunvveig;brownswick	2945024	Lower Saxony	52.26594	10.52673	52.26594,10.52673	DE	Germany
